word
ter
tenho
tive
achar
acho
achei
ser
é
foi
era
estar
estou
esteve
estava
estive
encontrar
encontramos
encontro
encontrei
encontrávamos
sentir
sinto
senti
fazer
faço
fiz
fizemos
deixar
deixo
deixado
deixamos
